Seq,ID,Gender,M,Recency,F,FirstPruch,ChildBks,YouthBks,CookBks,DoltYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence,Rela_pruchace
1067,8927,1,293,12,2,16,1,0,0,0,0,0,0,0,0,0,0,0
1068,8953,0,72,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1069,8955,0,35,10,2,12,0,0,0,0,0,0,0,0,0,0,0,0
1070,8956,0,82,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1071,8958,1,305,8,2,16,0,1,0,0,0,0,0,0,0,0,0,0
1072,8968,1,300,18,2,24,1,0,1,0,0,0,0,0,0,0,0,0
1073,8976,1,324,2,3,18,0,0,0,0,1,0,0,0,0,0,0,0
1074,8995,1,238,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
1075,9013,0,104,14,2,16,0,0,2,0,0,0,0,0,0,0,0,0
1076,9019,1,364,32,6,50,1,0,1,0,0,3,1,0,0,0,0,4
1077,9021,0,91,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0
1078,9022,0,81,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
1079,9026,1,222,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1080,9037,1,108,22,7,60,1,1,0,3,0,1,1,0,0,0,0,2
1081,9055,1,400,14,7,38,1,0,0,1,1,1,2,0,0,0,0,3
1082,9068,1,377,4,11,48,0,1,4,0,1,1,1,1,1,1,0,5
1083,9085,1,100,14,5,42,2,0,2,0,1,0,0,1,1,0,0,2
1084,9088,1,393,2,7,26,1,0,0,0,0,2,0,0,0,0,0,2
1085,9103,1,349,14,5,30,0,0,2,1,0,0,1,1,0,0,0,2
1086,9132,1,183,6,3,18,0,0,0,0,0,1,0,0,0,0,1,1
1087,9136,1,30,10,2,18,1,0,0,0,0,0,0,0,0,0,0,0
1088,9137,0,234,12,2,18,0,0,0,1,0,0,0,0,0,0,0,0
1089,9145,1,252,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1090,9147,1,256,16,2,20,1,0,0,0,0,1,0,0,0,0,0,1
1091,9153,1,199,12,2,18,0,0,0,1,0,0,0,0,0,0,0,0
1092,9155,1,231,32,10,72,2,0,5,3,0,0,0,0,0,0,0,0
1093,9162,1,321,2,7,34,2,1,1,0,0,2,0,1,0,2,0,5
1094,9172,1,260,14,2,16,1,0,1,0,0,0,0,0,0,0,0,0
1095,9182,0,296,4,4,16,1,0,0,0,0,0,0,0,0,0,0,0
1096,9203,1,53,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
1097,9208,1,350,20,5,38,1,1,1,2,0,0,0,1,0,0,0,1
1098,9212,1,302,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0
1099,9219,1,67,4,4,14,0,0,1,0,0,0,0,0,0,0,0,0
1100,9229,1,310,32,12,99,2,2,2,2,0,0,4,0,0,0,0,4
1101,9230,0,219,14,5,40,2,1,1,0,0,0,1,0,0,0,0,1
1102,9234,1,221,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1103,9246,0,64,10,2,16,0,0,0,0,0,1,0,0,0,0,1,1
1104,9254,0,245,14,2,20,0,0,0,1,0,0,0,0,0,0,0,0
1105,9256,1,311,24,12,70,3,3,3,0,0,1,2,0,0,0,0,3
1106,9260,1,163,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1107,9264,0,341,14,5,34,0,2,2,1,0,0,0,1,0,0,0,1
1108,9273,1,267,28,2,36,0,0,1,0,0,1,0,0,0,0,0,1
1109,9283,1,227,24,2,30,1,0,1,0,0,0,0,0,0,0,0,0
1110,9296,1,275,6,4,28,0,0,0,2,1,0,0,0,0,0,0,0
1111,9299,1,192,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1112,9304,1,317,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0
1113,9326,0,227,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1114,9357,1,215,10,8,42,0,2,1,1,1,1,1,0,0,0,0,2
1115,9363,1,133,16,3,22,1,1,0,0,0,0,1,0,0,0,0,1
1116,9370,1,75,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0
1117,9380,0,193,10,6,28,0,1,1,0,2,1,0,0,0,0,0,1
1118,9400,0,250,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
1119,9414,0,116,6,5,28,1,0,0,0,1,0,0,0,0,0,1,0
1120,9423,1,193,8,6,20,0,1,2,1,0,0,0,0,0,0,0,0
1121,9440,0,135,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1122,9461,1,241,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1123,9464,0,264,10,12,58,1,1,4,0,0,1,3,2,0,0,1,6
1124,9477,0,258,2,4,16,1,1,0,0,0,0,0,0,0,0,0,0
1125,9484,0,254,12,9,64,0,2,1,1,0,2,2,1,0,2,1,7
1126,9503,1,136,14,6,46,1,1,1,0,0,2,1,1,0,1,0,5
1127,9507,1,116,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0
1128,9532,0,306,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0
1129,9535,1,123,32,2,40,0,1,0,0,1,0,0,0,0,0,0,0
1130,9536,0,63,20,1,20,0,0,0,1,0,0,0,0,0,0,0,0
1131,9548,1,183,12,2,16,0,1,0,0,0,0,0,0,0,0,0,0
1132,9551,1,228,16,9,46,3,2,3,0,0,1,0,1,0,0,0,2
1133,9564,0,167,12,2,16,0,0,0,1,0,0,0,0,0,0,0,0
1134,9565,1,258,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0
1135,9571,0,321,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0
1136,9586,0,258,20,1,20,0,0,0,0,0,0,1,0,0,0,0,1
1137,9590,1,189,12,2,18,1,0,0,0,0,0,0,0,0,0,0,0
1138,9595,1,162,12,2,16,1,0,0,0,0,0,0,0,0,0,0,0
1139,9611,1,454,30,11,64,3,1,2,0,0,2,3,1,0,1,0,7
1140,9618,0,331,8,11,64,1,1,3,1,0,2,1,0,0,0,1,3
1141,9633,1,217,14,4,28,1,1,1,0,0,1,0,0,0,0,0,1
1142,9634,0,215,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0
1143,9639,1,139,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1144,9642,1,208,8,4,28,0,1,0,2,0,0,0,0,0,0,0,0
1145,9650,1,50,8,2,12,0,0,0,0,0,0,0,0,0,0,0,0
1146,9657,1,26,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1147,9659,1,265,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0
1148,9676,0,263,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0
1149,9683,1,178,12,2,14,0,1,0,0,0,0,0,0,0,0,0,0
1150,9687,1,304,16,1,16,0,0,0,1,0,0,0,0,0,0,0,0
1151,9688,1,293,16,1,16,0,0,0,0,0,1,0,0,0,0,0,1
1152,9700,1,38,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1153,9703,0,20,10,1,10,0,0,0,0,0,0,0,0,0,0,1,0
1154,9709,0,190,16,2,20,0,0,1,0,1,0,0,0,0,0,0,0
1155,9712,1,63,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0
1156,9713,0,129,14,2,22,0,0,0,0,1,1,0,0,0,0,0,1
1157,9720,1,302,14,1,14,0,0,0,0,1,0,0,0,0,0,0,0
1158,9727,1,421,14,12,50,1,1,1,1,3,2,2,0,0,0,0,4
1159,9732,1,396,28,7,50,1,0,2,0,2,1,1,1,1,1,0,5
1160,9736,0,199,32,2,34,0,2,0,0,0,0,0,0,0,0,0,0
1161,9737,1,270,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1162,9739,1,185,14,5,42,0,1,2,0,0,0,1,1,0,0,0,2
1163,9764,1,143,8,2,14,0,1,0,0,0,0,0,0,0,0,0,0
1164,9771,1,174,20,2,24,1,0,0,0,1,0,0,0,0,0,0,0
1165,9774,1,397,8,11,70,3,1,1,0,1,2,2,0,0,0,1,4
1166,9781,1,169,28,4,42,1,0,2,1,0,0,0,0,0,0,0,0
1167,9798,1,71,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1168,9809,0,251,8,6,36,2,0,0,1,1,1,0,0,0,0,0,1
1169,9810,0,131,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1170,9814,0,102,6,1,6,0,0,0,0,0,0,0,0,0,0,1,0
1171,9817,1,85,24,2,32,0,0,1,0,0,0,1,0,0,0,0,1
1172,9828,0,290,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0
1173,9832,1,127,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0
1174,9834,1,153,16,10,36,2,0,4,0,2,1,1,0,0,0,0,2
1175,9835,1,64,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0
1176,9836,1,240,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1177,9839,0,303,12,1,12,0,0,0,0,0,0,0,0,0,0,1,0
1178,9850,1,226,12,10,44,1,1,3,1,0,1,2,1,0,1,0,5
1179,9856,0,227,16,1,16,0,0,0,0,0,1,0,0,0,0,0,1
1180,9883,1,243,26,9,56,1,2,2,1,0,0,3,0,0,0,0,3
1181,9888,1,108,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0
1182,9894,0,224,12,2,16,1,0,0,0,0,0,0,0,0,0,0,0
1183,9899,1,234,14,1,14,0,0,0,0,0,1,0,0,0,0,0,1
1184,9923,1,269,24,1,24,1,0,0,0,0,0,0,0,0,0,0,0
1185,9925,1,76,14,1,14,0,0,0,1,0,0,0,0,0,0,0,0
1186,9933,1,309,34,2,40,0,1,0,1,0,0,0,0,0,0,0,0
1187,9934,1,88,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1188,9953,0,142,16,8,34,2,0,4,1,0,1,0,1,0,0,0,2
1189,9961,1,316,10,2,14,0,0,1,0,0,0,0,0,0,0,0,0
1190,9967,1,213,16,7,54,2,0,3,0,0,1,1,0,0,0,0,2
1191,9969,1,76,6,2,12,0,0,0,0,0,0,0,0,0,0,0,0
1192,9980,1,129,22,1,22,0,0,1,0,0,0,0,0,0,0,0,0
1193,9985,1,331,14,8,30,2,0,2,2,2,0,0,1,1,0,0,2
1194,9997,1,199,14,5,34,3,0,1,0,0,1,0,0,0,0,0,1
1195,10002,1,365,12,6,46,2,1,0,0,0,0,2,0,0,0,0,2
1196,10012,1,80,18,2,24,1,0,1,0,0,0,0,0,0,0,0,0
1197,10015,0,208,6,2,12,0,0,0,0,0,0,0,0,0,0,1,0
1198,10016,1,46,14,2,20,1,0,0,1,0,0,0,0,0,0,0,0
1199,10037,1,200,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0
1200,10038,0,406,4,12,68,3,2,2,2,1,0,0,1,0,0,0,1
1201,10045,0,311,2,9,24,1,1,2,0,1,0,0,0,0,0,1,0
1202,10047,1,458,6,11,48,3,0,1,1,1,2,0,1,0,1,0,4
1203,10056,0,312,14,2,20,1,0,0,0,0,0,0,0,0,0,1,0
1204,10059,1,203,2,2,6,0,0,0,0,0,0,0,0,0,0,1,0
1205,10064,1,79,30,2,34,0,0,1,0,0,0,1,0,0,0,0,1
1206,10066,1,170,32,8,54,2,1,0,2,1,0,2,0,0,0,0,2
1207,10093,1,461,10,11,66,3,0,2,2,0,1,1,0,0,0,0,2
1208,10099,1,210,30,2,34,0,1,0,0,0,1,0,0,0,1,0,2
1209,10115,1,247,12,2,18,1,0,0,0,0,0,0,0,0,0,0,0
1210,10131,0,247,14,3,22,1,0,1,0,0,1,0,0,0,0,0,1
1211,10165,1,312,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1212,10169,1,69,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0
1213,10182,0,223,12,11,72,1,1,2,2,1,2,1,0,0,0,0,3
1214,10183,1,99,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1215,10190,1,138,8,8,38,2,0,2,1,0,0,0,0,0,0,0,0
1216,10191,1,227,20,2,26,0,0,0,0,0,0,2,0,0,0,0,2
1217,10206,1,415,10,12,68,3,0,2,1,1,2,2,0,0,0,0,4
1218,10207,1,276,32,7,64,1,0,5,0,1,0,0,1,0,0,0,1
1219,10212,1,39,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1220,10223,1,165,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1221,10226,1,424,12,12,68,4,0,2,0,2,0,3,1,1,0,0,5
1222,10228,1,257,14,3,22,2,1,0,0,0,0,0,0,0,0,0,0
1223,10232,1,325,16,2,18,0,0,0,0,0,1,1,0,0,0,0,2
1224,10238,1,247,14,12,64,2,0,2,1,1,0,5,1,0,0,0,6
1225,10240,1,216,8,2,16,1,0,0,0,0,0,0,0,0,0,0,0
1226,10248,0,193,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1227,10254,0,275,24,1,24,1,0,0,0,0,0,0,0,0,0,0,0
1228,10278,1,184,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1229,10285,1,303,18,2,22,0,0,0,1,0,0,1,0,0,0,0,1
1230,10286,1,80,10,2,18,1,0,0,0,0,0,0,0,0,0,0,0
1231,10289,1,263,16,2,22,0,0,1,1,0,0,0,0,0,0,0,0
1232,10291,1,73,16,2,24,0,0,0,1,0,0,1,0,0,0,0,1
1233,10293,1,46,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1234,10295,1,263,10,3,24,0,0,0,0,1,0,0,0,0,0,0,0
1235,10314,1,282,10,7,28,0,2,1,1,1,1,0,0,0,0,0,1
1236,10330,0,17,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1237,10340,1,407,14,8,34,1,1,1,1,1,1,2,0,0,0,0,3
1238,10351,1,192,18,6,38,1,0,3,1,0,0,1,0,0,0,0,1
1239,10356,0,233,8,2,14,1,0,0,0,0,0,0,0,0,0,0,0
1240,10365,1,359,12,12,78,2,1,2,1,2,1,2,1,1,1,0,6
1241,10370,1,300,12,2,18,1,0,0,0,0,0,0,0,0,0,0,0
1242,10372,1,154,16,8,36,3,2,0,0,1,2,0,0,0,0,0,2
1243,10386,1,195,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1244,10392,1,187,6,11,38,2,0,3,2,0,0,1,1,0,0,1,2
1245,10403,1,314,12,2,16,1,0,0,0,0,0,0,0,0,0,0,0
1246,10414,1,268,12,2,16,1,0,0,0,0,0,0,0,0,0,0,0
1247,10420,1,123,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0
1248,10444,1,156,16,2,18,0,0,1,0,1,0,0,0,0,0,0,0
1249,10447,1,226,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1250,10449,1,299,12,6,28,1,0,2,1,0,1,0,1,0,1,0,3
1251,10457,1,255,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1252,10459,0,323,16,6,44,0,1,1,0,2,2,0,0,0,0,0,2
1253,10477,1,133,6,2,12,0,0,0,0,0,0,0,0,0,0,0,0
1254,10521,0,206,16,4,36,0,0,1,0,1,1,1,0,0,0,0,2
1255,10529,1,310,30,2,36,0,0,0,1,0,1,0,0,0,0,1,1
1256,10530,1,27,20,1,20,0,0,0,0,0,0,1,0,0,0,0,1
1257,10541,1,189,4,11,30,0,1,0,0,0,1,1,0,0,1,1,3
1258,10552,1,364,2,9,42,1,1,0,2,0,0,0,0,0,0,0,0
1259,10570,1,92,8,4,30,0,1,1,0,0,0,1,0,0,0,0,1
1260,10571,0,136,2,2,8,0,0,0,0,0,0,0,0,0,0,1,0
1261,10577,1,167,8,2,14,1,0,0,0,0,0,0,0,0,0,1,0
1262,10583,1,159,10,2,14,0,0,0,0,1,0,0,0,0,0,1,0
1263,10591,0,72,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1264,10592,1,41,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1265,10602,1,194,10,3,16,0,0,1,0,0,0,0,0,0,0,0,0
1266,10607,0,82,14,2,16,1,0,0,0,0,0,0,0,0,0,0,0
1267,10619,1,132,16,6,30,2,1,0,1,0,1,1,0,0,0,1,2
1268,10653,1,152,16,1,16,0,0,0,0,0,0,1,0,0,0,0,1
1269,10654,0,207,4,11,60,1,1,3,1,2,0,0,1,2,0,0,3
1270,10656,1,313,16,12,62,2,3,0,1,2,1,3,0,0,0,0,4
1271,10669,1,259,14,2,22,0,0,2,0,0,0,0,1,0,0,0,1
1272,10689,1,127,2,3,12,0,0,0,0,0,0,0,0,0,0,0,0
1273,10695,1,346,2,10,52,2,1,2,0,0,2,2,0,0,0,0,4
1274,10696,1,220,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0
1275,10698,0,296,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0
1276,10700,0,116,14,2,20,1,0,1,0,0,0,0,1,0,0,0,1
1277,10709,1,160,18,2,26,0,0,1,0,1,0,0,0,0,0,0,0
1278,10728,1,332,8,7,42,3,0,1,0,0,1,1,1,0,1,0,4
1279,10733,0,207,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0
1280,10740,1,51,36,1,36,0,0,0,1,0,0,0,0,0,0,0,0
1281,10741,1,239,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0
1282,10744,1,72,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1283,10749,1,362,2,6,20,1,0,0,0,0,0,1,0,0,0,0,1
1284,10779,1,108,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0
1285,10780,1,97,6,2,12,0,0,0,0,0,0,0,0,0,0,0,0
1286,10783,0,86,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1287,10786,0,291,4,7,40,0,2,0,1,0,1,0,0,0,0,1,1
1288,10800,1,262,28,10,80,3,0,2,3,0,1,1,1,0,1,0,4
1289,10806,1,415,12,9,60,1,0,2,2,1,2,0,0,0,0,0,2
1290,10811,1,177,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0
1291,10812,1,174,14,4,28,2,0,0,1,0,1,0,0,0,0,0,1
1292,10820,1,81,12,2,20,1,0,0,0,0,0,0,0,0,0,0,0
1293,10826,1,42,32,2,36,0,0,0,0,0,1,1,0,0,0,0,2
1294,10829,0,318,4,7,44,0,1,2,1,1,1,0,1,1,1,0,4
1295,10832,1,195,16,2,18,1,0,1,0,0,0,0,0,0,0,0,0
1296,10835,1,235,2,10,52,2,2,2,0,0,0,2,0,0,0,1,2
1297,10844,0,72,8,4,20,0,1,1,0,1,0,0,0,0,0,0,0
1298,10845,1,291,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0
1299,10848,1,173,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1300,10850,1,193,34,11,82,5,0,3,0,0,2,1,1,0,2,0,6
1301,10869,0,273,2,4,12,0,0,0,0,0,0,0,0,0,0,0,0
1302,10877,1,220,34,2,42,1,0,0,0,1,0,0,0,0,0,0,0
1303,10891,1,306,12,2,18,0,1,0,0,0,0,0,0,0,0,0,0
1304,10899,1,136,10,3,26,1,0,1,0,0,0,0,0,0,0,0,0
1305,10909,1,375,8,9,38,2,1,0,1,1,1,1,0,0,0,0,2
1306,10915,1,52,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0
1307,10918,0,338,6,8,54,1,2,2,1,0,1,0,1,0,0,0,2
1308,10919,0,310,16,2,18,0,0,1,0,0,0,1,0,0,0,0,1
1309,10928,1,95,32,2,40,0,0,0,1,0,1,0,0,0,1,0,2
1310,10934,1,203,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0
1311,10935,1,152,12,2,18,0,1,0,0,0,0,0,0,0,0,0,0
1312,10936,1,178,8,2,12,0,0,0,0,0,0,0,0,0,0,0,0
1313,10950,0,270,4,2,6,0,0,0,0,0,0,0,0,0,0,1,0
1314,10952,1,202,4,12,72,1,1,0,1,2,2,0,0,0,0,1,2
1315,10955,0,293,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1316,10956,1,207,24,2,30,1,1,0,0,0,0,0,0,0,0,0,0
1317,10957,1,263,12,2,20,0,0,1,0,0,0,0,0,0,0,0,0
1318,10960,0,67,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1319,10963,1,295,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1320,10964,1,175,14,11,68,2,3,3,2,1,0,0,0,0,0,0,0
1321,10978,1,294,10,3,22,0,0,1,1,0,0,0,0,0,0,0,0
1322,10999,1,268,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1323,11007,1,39,30,1,30,0,0,1,0,0,0,0,0,0,0,0,0
1324,11009,1,94,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1325,11010,0,216,2,9,46,2,1,2,0,2,0,1,1,1,0,0,3
1326,11012,0,97,20,1,20,0,0,1,0,0,0,0,0,0,0,0,0
1327,11045,1,24,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0
1328,11050,0,334,2,7,26,0,0,3,1,0,0,0,1,0,0,0,1
1329,11055,1,329,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0
1330,11061,0,313,12,2,20,0,0,1,0,0,0,0,0,0,0,0,0
1331,11064,1,240,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0
1332,11065,1,432,16,9,38,0,2,5,1,0,0,1,0,0,0,0,1
1333,11076,0,54,16,1,16,0,0,0,0,0,1,0,0,0,0,0,1
1334,11088,1,116,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1335,11097,1,305,30,1,30,0,0,0,0,1,0,0,0,0,0,0,0
1336,11111,1,134,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1337,11113,1,101,16,2,22,0,0,1,0,1,0,0,0,0,0,0,0
1338,11118,1,318,6,2,14,1,0,0,0,0,0,0,0,0,0,0,0
1339,11124,1,347,20,9,60,1,2,2,1,2,1,0,0,0,0,0,1
1340,11131,1,55,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1341,11133,1,71,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0
1342,11138,1,292,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1343,11150,1,37,28,2,32,0,0,0,0,1,1,0,0,0,0,0,1
1344,11179,1,133,16,4,36,1,0,1,1,0,0,1,0,0,0,0,1
1345,11186,1,152,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1346,11203,1,112,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1347,11216,1,179,16,3,34,0,1,2,0,0,0,0,0,0,0,0,0
1348,11220,0,23,14,1,14,0,0,0,0,1,0,0,0,0,0,0,0
1349,11234,0,337,10,10,66,3,1,2,0,0,1,2,0,0,0,0,3
1350,11249,1,109,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0
1351,11274,1,21,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0
1352,11289,0,160,6,5,22,0,0,1,1,0,0,0,0,0,0,0,0
1353,11294,1,116,20,5,46,0,1,2,0,1,1,0,1,0,0,0,2
1354,11295,1,135,8,4,22,0,0,2,0,0,1,0,0,0,0,0,1
1355,11311,1,182,10,4,34,1,0,0,2,0,0,0,0,0,0,0,0
1356,11314,1,298,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1357,11315,0,316,26,8,72,1,1,1,1,1,2,1,0,0,0,1,3
1358,11342,0,142,14,3,26,1,1,1,0,0,0,0,0,0,0,0,0
1359,11343,1,121,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1360,11363,0,118,8,2,16,0,0,1,0,0,0,0,0,0,0,0,0
1361,11370,1,293,8,2,12,0,0,0,0,0,0,0,0,0,0,0,0
1362,11393,1,166,8,11,56,1,3,1,0,2,0,1,0,0,0,0,1
1363,11396,1,269,10,5,32,2,0,1,0,0,0,0,0,0,0,0,0
1364,11401,1,258,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0
1365,11406,0,397,10,9,50,0,1,2,0,0,3,2,0,0,0,1,5
1366,11434,1,199,14,2,18,0,0,0,1,0,1,0,0,0,0,0,1
1367,11439,0,56,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0
1368,11455,1,234,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1369,11456,1,185,14,8,54,2,1,1,3,0,0,1,1,0,0,0,2
1370,11457,1,46,10,2,14,1,0,0,0,0,0,0,0,0,0,0,0
1371,11461,1,41,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0
1372,11484,1,34,14,1,14,0,0,0,0,1,0,0,0,0,0,0,0
1373,11486,1,193,14,2,18,1,1,0,0,0,0,0,0,0,0,0,0
1374,11487,1,156,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1375,11491,1,216,16,2,18,1,0,0,0,0,0,1,0,0,0,0,1
1376,11495,1,240,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1377,11499,1,107,22,1,22,0,0,0,0,0,0,1,0,0,0,0,1
1378,11504,1,232,26,1,26,0,0,1,0,0,0,0,0,0,0,0,0
1379,11520,1,199,22,5,50,0,1,2,0,0,1,1,0,0,0,0,2
1380,11536,0,395,10,11,36,4,2,1,0,0,0,1,1,0,0,0,2
1381,11548,0,201,22,2,28,2,0,0,0,0,0,0,0,0,0,0,0
1382,11550,0,319,22,11,50,2,1,1,4,1,1,1,0,0,0,0,2
1383,11551,1,81,4,2,10,0,0,0,0,0,0,0,0,0,0,1,0
1384,11554,0,79,26,1,26,0,0,0,0,0,0,1,0,0,0,0,1
1385,11558,1,281,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0
1386,11572,1,222,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
1387,11584,1,73,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0
1388,11586,0,206,14,11,64,2,1,3,2,1,1,1,2,0,0,0,4
1389,11588,1,215,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
1390,11592,1,140,10,2,14,0,1,0,0,0,0,0,0,0,0,0,0
1391,11608,0,182,12,2,18,0,0,1,0,0,0,0,0,0,0,0,0
1392,11610,1,196,16,4,32,1,2,1,0,0,0,0,0,0,0,0,0
1393,11617,1,99,14,4,32,2,0,1,1,0,0,0,0,0,0,0,0
1394,11620,1,115,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0
1395,11622,1,83,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0
1396,11627,1,287,6,3,22,0,1,0,0,0,0,1,0,0,0,0,1
1397,11635,1,156,14,6,32,2,0,1,1,2,0,0,0,0,0,0,0
1398,11652,1,25,30,1,30,0,0,0,0,0,0,1,0,0,0,0,1
1399,11654,1,60,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0
1400,11655,1,77,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1401,11682,1,275,14,3,20,1,0,2,0,0,0,0,1,0,0,0,1
1402,11685,0,314,28,7,62,0,1,4,0,1,1,0,0,0,0,0,1
1403,11697,1,289,12,12,60,1,2,3,1,2,1,1,0,0,0,0,2
1404,11702,1,256,10,9,32,0,1,2,3,0,0,0,0,0,0,0,0
1405,11712,1,140,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
1406,11720,1,267,16,2,20,1,0,0,0,0,1,0,0,0,0,0,1
1407,11726,0,265,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0
1408,11727,1,100,16,2,20,1,0,0,1,0,0,0,0,0,0,0,0
1409,11730,0,125,14,2,16,0,0,0,0,0,0,1,0,0,0,0,1
1410,11734,1,326,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0
1411,11740,1,197,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
1412,11741,0,243,14,11,78,3,1,5,0,0,2,0,1,0,1,0,4
1413,11750,1,343,10,11,58,3,2,2,0,1,0,2,0,0,0,0,2
